  8481880  72714621 426153544 total
     7703     60449    335709 base_dades/etext03/vfear11a.txt
     6673     57829    334650 base_dades/etext00/icfsh10.txt
     7154     59432    333977 base_dades/etext93/wmars13.txt
     6668     57821    332693 base_dades/etext97/bnrwy10.txt
     6537     57817    331447 base_dades/etext04/gp37w10.txt
     6651     60486    327835 base_dades/etext94/plgrm11.txt
     5657     54773    325598 base_dades/etext03/hgrkr10.txt
     6414     61801    322124 base_dades/etext95/bbeau10.txt
     5313     53383    321742 base_dades/etext03/nplnb10.txt
     5488     54523    319905 base_dades/etext02/baron10.txt
     7266     55639    319680 base_dades/etext96/ebacn10.txt
     8009     56019    318423 base_dades/etext98/vccty10.txt
     5571     51960    318138 base_dades/etext03/lfcpn10.txt
    11226     51489    316676 base_dades/etext03/vlpnr10.txt
    10202     51864    315980 base_dades/etext03/eotsw10.txt
     6830     54559    313376 base_dades/etext00/cptcr11a.txt
     5772     50603    312934 base_dades/etext03/nqpmr10.txt
    11520     51069    311351 base_dades/etext03/lchms10.txt
     5679     52739    310980 base_dades/etext02/ltswd10.txt
     5260     51183    309069 base_dades/etext05/8aggr10.txt
     7328     55522    308591 base_dades/etext93/zenda10.txt
     5563     51829    306690 base_dades/etext05/8recn10.txt
     9502     49161    306579 base_dades/etext04/emihh10a.txt
     5703     51809    303752 base_dades/etext00/rbddh10.txt
     4903     51517    301735 base_dades/etext00/andsj10.txt
     6524     55782    298005 base_dades/etext00/remus10.txt
     5080     51385    296940 base_dades/etext98/tprnc10.txt
     7266     53184    295841 base_dades/etext05/8jeev10.txt
     4979     51996    295537 base_dades/etext04/lsttn10.txt
     6759     51927    292995 base_dades/etext05/8moon10.txt
     6450     53231    292535 base_dades/etext96/prgob10.txt
     6174     52181    292301 base_dades/etext05/8dubc10.txt
     6080     52526    292059 base_dades/etext95/jnglb10.txt
     6561     50519    291440 base_dades/etext00/esymn10.txt
     5524     49091    289994 base_dades/etext04/mtrcs10.txt
     5922     52984    284611 base_dades/etext05/tbyty10.txt
     5050     43038    282484 base_dades/etext05/skawe10.txt
     7457     48620    280786 base_dades/etext96/badge10a.txt
     6199     46469    275639 base_dades/etext04/lgsp10.txt
     4907     44416    273149 base_dades/etext02/oldno10.txt
     4967     47876    271801 base_dades/etext01/3linc11.txt
     5293     44720    271086 base_dades/etext05/8hsrs10.txt
     7172     49149    270113 base_dades/etext05/8cury10.txt
     9116     45799    267103 base_dades/etext04/8grtr10.txt
     5548     45704    264561 base_dades/etext95/study10.txt
     6876     44263    260296 base_dades/etext93/ozland10.txt
     5200     45353    259214 base_dades/etext94/dmoro11.txt
     5504     43596    258604 base_dades/etext98/19rus10.txt
     5848     44965    257406 base_dades/etext03/8fmtm10.txt
     4436     45887    256825 base_dades/etext96/notun11.txt
     4689     44849    256287 base_dades/etext04/mdvll10.txt
     4138     45423    253884 base_dades/etext00/utopi10.txt
     4682     46094    253562 base_dades/etext04/holyw10.txt
     5182     46409    252499 base_dades/etext95/sioux10.txt
     6953     40888    251393 base_dades/etext95/litbl10.txt
     5158     44993    250755 base_dades/etext00/sign410.txt
     4581     44685    250285 base_dades/etext99/phado10.txt
     4303     38863    247624 base_dades/etext05/panic10.txt
     4126     41573    247441 base_dades/etext04/sphjd10.txt
     5519     43727    246520 base_dades/etext96/doroz10.txt
     5087     44098    246078 base_dades/etext95/tturn10.txt
     5146     43150    245233 base_dades/etext92/duglas11.txt
    10066     36896    241475 base_dades/etext98/cdbfr10.txt
     5221     42672    241064 base_dades/etext91/aesop11.txt
     9822     37709    237089 base_dades/etext98/cdben10.txt
     4293     41499    236609 base_dades/etext01/siddh10.txt
     5405     41047    235316 base_dades/etext96/rd2oz10.txt
     4892     39002    234875 base_dades/etext05/8igjp10.txt
     4694     43166    234797 base_dades/etext05/tagod10.txt
     4543     40534    231763 base_dades/etext00/chldh10.txt
     5115     41070    229496 base_dades/etext96/magoz10.txt
     5105     41188    229443 base_dades/etext93/wizoz10.txt
     3889     39955    226482 base_dades/etext96/hdark12a.txt
     3950     38840    226345 base_dades/etext04/pscmg10.txt
     3777     40205    225995 base_dades/etext01/4linc11.txt
     5436     30794    218210 base_dades/etext04/clprm10u.txt
     5279     38829    212886 base_dades/etext04/btsnl10.txt
     3764     37046    208489 base_dades/etext97/lndle10.txt
     4974     35935    208375 base_dades/etext03/pygml10.txt
     3642     34005    202965 base_dades/etext04/8cand10.txt
     5087     34994    202929 base_dades/etext03/mjbrb10.txt
     3947     35698    202857 base_dades/etext03/dkang10.txt
     4233     31598    200226 base_dades/etext05/aaard10.txt
     5330     34148    199649 base_dades/etext96/sorol10.txt
     4928     34313    199175 base_dades/etext03/nsnvl10.txt
     3670     34277    197557 base_dades/etext92/timem11.txt
     6754     32974    194524 base_dades/etext98/2ws0410.txt
     3536     33535    193520 base_dades/etext95/callw10.txt
     7067     33590    193045 base_dades/etext98/2ws2610.txt
     3961     34576    191568 base_dades/etext01/mlcal10.txt
     3948     33566    188866 base_dades/etext04/svncl10.txt
     3912     33039    187505 base_dades/etext03/crtcm10.txt
     5345     32898    184837 base_dades/etext98/sprvr11.txt
     6734     30885    183878 base_dades/etext98/2ws3610.txt
     4431     31039    183628 base_dades/etext91/lglass18.txt
     4541     29771    182377 base_dades/etext04/8va0910.txt
     3556     31560    182344 base_dades/etext02/cnfcs10.txt
